職員名,担当フロア,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17,2025-04-18,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-25,2025-04-26,2025-04-27,2025-04-28,2025-04-29,2025-04-30,2025-05-01,2025-05-02,2025-05-03,2025-05-04,2025-05-05,2025-05-06,2025-05-07,集計:公休,集計:祝日,集計:日勤,集計:早出,集計:夜勤,集計:明勤
,,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火(祝),水,木,金,土(祝),日(祝),月(祝),火(祝),水,,,,,,
職員A,1F,日,公,日,公,公,日,日,日,公,夜,明,公,夜,明,公,夜,明,公,日,早,夜,明,公,公,公,夜,明,公,公,夜,明,11,,4,1,6,6
職員B,1F,日,日,日,早,明,公,公,日,日,日,早,早,公,公,日,早,日,日,日,公,公,日,公,日,日,日,公,公,公,公,日,11,,12,4,0,1
職員C,1F,日,公,日,公,公,公,公,公,公,日,公,公,早,日,日,日,日,日,公,公,日,日,日,日,日,日,夜,明,公,日,夜,11,,13,1,2,1
職員D,1F,夜,明,公,公,日,日,早,日,公,日,公,公,公,公,公,日,早,公,公,日,日,夜,明,公,公,早,日,日,日,日,日,11,,12,3,1,1
職員E,1F,明,公,公,日,公,公,日,公,早,公,日,夜,明,公,夜,明,公,公,夜,明,公,明,公,早,夜,明,公,日,夜,明,公,11,,4,2,5,6
職員F,1F,公,日,早,公,夜,明,公,公,日,公,公,日,公,早,公,明,公,日,早,日,早,公,早,公,早,公,日,早,早,早,早,11,,5,9,1,2
職員G,1F,公,日,日,夜,明,公,公,夜,明,公,夜,明,公,公,公,公,公,夜,明,公,公,早,公,夜,明,公,公,公,公,公,公,17,,0,1,5,5
職員H,1F,夜,明,公,日,日,早,日,早,日,早,日,日,日,日,日,日,日,早,日,日,日,日,日,日,日,日,日,日,日,日,日,0,,24,4,0,0
職員I,1F,公,公,早,日,早,日,夜,明,公,公,日,日,日,日,早,公,公,明,公,公,明,公,日,公,明,公,早,公,日,公,明,11,,8,3,1,5
職員J,1F,早,夜,明,公,日,夜,明,公,夜,明,公,公,日,夜,明,公,夜,明,公,夜,明,公,夜,明,公,公,公,夜,明,公,明,11,,2,0,7,8
日勤合計,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,
早出合計,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
夜勤合計,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
明勤合計,,,,,0,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,2,1,1,1,1,1,3,,,,,,
