職員名,担当フロア,2025/4/7,2025/4/8,2025/4/9,2025/4/10,2025/4/11,2025/4/12,2025/4/13,2025/4/14,2025/4/15,2025/4/16,2025/4/17,2025/4/18,2025/4/19,2025/4/20,2025/4/21,2025/4/22,2025/4/23,2025/4/24,2025/4/25,2025/4/26,2025/4/27,2025/4/28,2025/4/29,2025/4/30,2025/5/1,2025/5/2,2025/5/3,2025/5/4,2025/5/5,2025/5/6,2025/5/7,集計:公休,集計:祝日,集計:日勤,集計:早出,集計:夜勤,集計:明勤
,,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火(祝),水,木,金,土(祝),日(祝),月(祝),火(祝),水,,,,,,
A,,日,公,日,日,日,公,公,日,日,日,日,日,公,公,日,日,日,日,日,公,公,日,日,日,日,日,公,公,日,日,日,8,,20,0,0,0
B,,日,日,日,日,日,公,公,日,日,日,日,日,公,公,日,日,日,日,日,公,公,日,日,日,日,日,公,公,日,日,日,8,,20,0,0,0
C,1F,日,公,日,公,日,夜,明,公,日,日,早,日,明,公,早,日,公,早,日,夜,明,公,早,公,夜,明,公,早,公,日,早,8,,7,6,3,4
D,1F,育休,育休,育休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,0,,0,0,0,0
E,1F,夜,明,公,日,日,公,夜,明,公,夜,明,公,早,公,日,早,夜,明,公,日,公,日,夜,明,公,早,公,日,早,早,公,9,,6,5,4,4
F,1F,明,公,公,早,日,早,公,夜,明,公,公,日,夜,明,公,日,早,公,日,公,公,日,日,夜,明,公,夜,明,公,日,夜,9,,7,3,5,4
G,1F,公,日,早,夜,明,公,日,日,公,早,公,早,早,夜,明,公,夜,明,公,日,日,公,日,早,早,公,早,早,夜,明,公,8,,5,7,4,4
H,1F,公,日,日,公,早,日,早,公,日,早,夜,明,公,日,公,夜,明,公,早,日,早,日,公,早,公,夜,明,公,日,日,早,8,,7,7,3,3
I,1F,夜,明,公,夜,明,公,日,公,日,日,夜,明,公,日,早,夜,明,公,夜,明,公,夜,明,公,公,早,日,公,早,日,日,8,,7,3,5,5
J,1F,公,公,早,日,公,日,日,夜,明,公,早,夜,明,公,日,日,早,公,夜,明,公,公,日,日,夜,明,公,夜,明,公,夜,8,,7,2,6,5
K,1F,早,夜,明,公,夜,明,公,日,公,夜,明,公,夜,明,公,公,日,日,日,日,公,公,早,日,日,公,日,夜,明,公,日,10,,9,1,4,4
L,1F,早,夜,明,公,日,公,日,日,夜,明,公,日,日,日,公,早,公,公,公,早,日,日,日,公,早,公,日,日,公,夜,明,10,,11,3,2,2
M,1F,公,早,夜,明,公,日,公,早,夜,明,公,日,日,早,日,公,日,日,公,早,日,早,公,日,日,日,公,日,夜,明,公,8,,11,4,2,3
N,1F,日,公,公,日,早,日,早,公,日,日,公,夜,明,公,夜,明,公,日,早,公,夜,明,公,明,公,日,公,日,日,夜,明,8,,8,3,4,5
O,1F,明,公,公,日,日,夜,明,公,明,公,日,公,日,日,日,公,日,日,日,公,早,夜,明,公,日,日,夜,明,公,明,公,8,,11,1,3,5
P,1F,公,早,夜,明,公,早,夜,明,公,公,日,公,日,早,公,日,日,夜,明,公,日,早,公,日,日,日,日,公,日,公,日,9,,11,3,2,3
