職員名,担当フロア,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17,2025-04-18,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-25,2025-04-26,2025-04-27,2025-04-28,2025-04-29,2025-04-30,2025-05-01,2025-05-02,2025-05-03,2025-05-04,2025-05-05,2025-05-06,2025-05-07,集計:公休,集計:祝日,集計:日勤,集計:早出,集計:夜勤,集計:明勤
,,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火(祝),水,木,金,土(祝),日(祝),月(祝),火(祝),水,,,,,,
職員A,1F,日,公,日,早,早,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,公,公,公,夜,明,公,夜,明,10,,0,2,8,8
職員B,1F,日,日,日,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,公,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,11,,0,0,9,8
職員C,1F,日,公,日,日,日,早,早,早,日,早,早,早,夜,明,公,夜,明,公,早,夜,明,公,夜,明,公,早,日,早,夜,明,公,5,,4,9,5,5
職員D,1F,夜,明,公,夜,明,公,夜,明,公,夜,明,公,早,早,早,日,夜,明,公,早,早,早,日,早,早,夜,明,公,早,日,早,5,,3,10,5,5
職員E,1F,明,公,公,公,日,公,日,日,日,日,日,日,日,日,日,日,公,早,日,日,日,日,日,日,日,日,早,日,日,日,日,3,,23,2,0,0
職員F,1F,公,日,早,公,日,公,日,日,早,日,日,日,日,日,日,早,日,日,日,日,日,日,早,日,日,日,日,日,日,早,日,2,,22,4,0,0
職員G,1F,公,日,日,日,病休,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,0,,27,0,0,0
職員H,1F,夜,明,公,日,病休,日,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,日,日,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,0,,4,0,0,0
職員I,1F,公,公,早,公,病休,日,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,早,病休,病休,病休,病休,病休,病休,夜,明,公,病休,病休,病休,病休,病休,2,,1,1,1,1
職員J,1F,早,夜,明,公,公,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,2,,0,0,0,0
日勤合計,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,
早出合計,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
夜勤合計,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
明勤合計,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
