職員名,担当フロア,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17,2025-04-18,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-25,2025-04-26,2025-04-27,2025-04-28,2025-04-29,2025-04-30,2025-05-01,2025-05-02,2025-05-03,2025-05-04,2025-05-05,2025-05-06,2025-05-07,集計:公休,集計:祝日,集計:日勤,集計:早出,集計:夜勤,集計:明勤
,,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火(祝),水,木,金,土(祝),日(祝),月(祝),火(祝),水,,,,,,
職員A,1F,日,公,日,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,28,,0,0,0,0
職員B,1F,日,日,日,日,日,日,公,公,日,日,日,日,日,公,公,日,日,日,日,日,公,公,日,日,日,日,日,公,公,日,日,8,,20,0,0,0
職員C,1F,日,公,日,公,早,日,日,日,早,早,早,早,日,日,日,早,早,早,早,日,日,日,日,早,早,早,日,日,日,日,早,1,,14,13,0,0
職員D,1F,夜,明,公,公,早,日,日,早,早,早,早,早,日,日,早,早,早,早,早,日,日,早,日,早,早,早,日,日,日,日,早,1,,11,16,0,0
職員E,1F,明,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,28,,0,0,0,0
職員F,1F,公,日,早,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,早,日,日,0,,27,1,0,0
職員G,1F,公,日,日,日,日,日,公,公,日,日,日,日,日,公,公,公,早,早,早,日,公,公,公,早,早,早,日,公,公,公,日,11,,11,6,0,0
職員H,1F,夜,明,公,早,早,日,日,早,早,早,早,早,日,日,早,早,早,早,早,日,日,早,日,早,早,早,日,日,日,日,早,0,,11,17,0,0
職員I,1F,公,公,早,公,早,日,日,日,公,公,公,早,日,日,早,公,公,早,早,日,日,早,日,早,早,早,日,日,日,日,早,6,,12,10,0,0
職員J,1F,早,夜,明,公,公,公,公,公,公,公,公,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,公,10,,18,0,0,0
日勤合計,,,,,3,3,7,5,3,3,3,3,3,8,6,3,3,3,3,3,8,6,3,7,3,3,3,8,6,5,7,3,,,,,,
早出合計,,,,,1,4,0,0,2,3,3,3,4,0,0,3,3,4,5,5,0,0,3,0,5,5,5,0,0,1,0,4,,,,,,
夜勤合計,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
明勤合計,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
