職員名,担当フロア,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17,2025-04-18,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-25,2025-04-26,2025-04-27,2025-04-28,2025-04-29,2025-04-30,2025-05-01,2025-05-02,2025-05-03,2025-05-04,2025-05-05,2025-05-06,2025-05-07,集計:公休,集計:祝日,集計:日勤,集計:早出,集計:夜勤,集計:明勤
,,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火(祝),水,木,金,土(祝),日(祝),月(祝),火(祝),水,,,,,,
A,1F,日,公,日,日,日,公,公,日,日,日,日,日,公,公,日,日,日,日,日,公,公,日,日,日,日,日,公,公,日,日,日,8,,20,0,0,0
B,1F,日,日,日,日,日,公,公,日,日,日,日,日,公,公,日,日,日,日,日,公,公,日,日,日,日,日,公,公,日,日,日,8,,20,0,0,0
C,1F,日,公,日,早,夜,明,公,公,日,夜,明,公,日,夜,明,公,夜,明,公,日,日,日,公,公,公,日,夜,明,公,公,公,11,,6,1,5,5
D,1F,育休,育休,育休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,0,,0,0,0,0
E,1F,夜,明,公,公,早,夜,明,公,夜,明,公,夜,明,公,夜,明,公,公,夜,明,公,日,早,公,公,夜,明,公,早,夜,明,10,,1,3,7,7
F,1F,明,公,公,夜,明,公,日,夜,明,公,夜,明,公,日,夜,明,公,夜,明,公,公,公,早,夜,明,公,日,夜,明,公,日,9,,4,1,7,7
G,1F,公,日,早,公,夜,明,公,日,公,日,公,公,日,早,公,公,公,早,公,早,日,公,日,公,早,夜,明,公,公,日,日,13,,7,4,2,2
H,1F,公,日,日,日,公,早,早,日,公,日,早,公,早,日,公,夜,明,公,公,早,夜,明,公,早,公,公,日,日,公,夜,明,10,,6,6,3,3
I,1F,夜,明,公,早,早,夜,明,公,公,夜,明,公,早,夜,明,公,公,公,日,公,早,早,公,公,日,公,夜,明,公,日,公,12,,3,5,4,4
J,1F,公,公,早,夜,明,公,夜,明,公,早,早,公,夜,明,公,夜,明,公,早,日,夜,明,公,日,公,公,日,早,公,公,公,11,,3,4,5,5
K,1F,早,夜,明,公,公,日,日,早,日,公,公,公,夜,明,公,公,日,早,夜,明,公,公,公,夜,明,公,早,日,夜,明,公,12,,5,3,4,4
L,1F,早,夜,明,公,公,日,日,公,早,公,公,日,公,日,日,公,早,公,公,夜,明,公,夜,明,公,公,早,夜,明,公,夜,13,,5,3,4,3
M,1F,公,早,夜,明,公,日,夜,明,公,公,日,早,公,日,公,日,公,日,早,公,日,公,夜,明,公,公,公,早,日,早,夜,11,,7,4,3,3
N,1F,日,公,公,日,公,早,早,早,公,公,公,夜,明,公,公,日,公,日,公,日,日,夜,明,公,公,早,日,日,早,公,早,11,,7,6,2,2
O,1F,明,公,公,公,日,公,日,公,夜,明,公,早,日,公,早,早,夜,明,公,日,早,夜,明,公,日,早,公,公,夜,明,公,10,,5,5,4,4
P,1F,公,早,夜,明,公,日,公,夜,明,公,公,公,日,早,公,早,日,公,日,夜,明,公,日,日,早,日,公,日,日,早,公,10,,9,4,2,3
Q,1F,日,日,日,公,日,公,公,公,公,公,日,日,公,公,日,公,公,公,公,公,公,早,公,公,夜,明,公,公,公,公,早,20,,4,2,1,1
R,2F,日,公,日,公,日,日,夜,明,公,公,公,夜,明,公,日,公,早,日,公,日,夜,明,公,夜,明,公,日,夜,明,公,早,10,,6,2,5,5
S,2F,明,公,日,日,夜,明,公,日,夜,明,公,夜,明,公,日,早,公,日,日,夜,明,公,夜,明,公,日,公,早,夜,明,公,8,,6,2,6,6
T,2F,夜,明,公,公,日,夜,明,公,日,夜,明,公,夜,明,公,公,日,夜,明,公,夜,明,公,日,公,日,夜,明,公,夜,明,9,,5,0,7,7
