職員名,担当フロア,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17,2025-04-18,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-25,2025-04-26,2025-04-27,2025-04-28,2025-04-29,2025-04-30,2025-05-01,2025-05-02,2025-05-03,2025-05-04,2025-05-05,2025-05-06,2025-05-07,集計:公休,集計:祝日,集計:日勤,集計:早出,集計:夜勤,集計:明勤
,,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火(祝),水,木,金,土(祝),日(祝),月(祝),火(祝),水,,,,,,
A,1F,日,公,日,日,日,公,公,日,日,日,日,日,公,公,日,日,日,日,日,公,公,日,日,日,日,日,公,公,日,日,日,8,,20,0,0,0
B,1F,日,日,日,日,日,公,公,日,日,日,日,日,公,公,日,日,日,日,日,公,公,日,日,日,日,日,公,公,日,日,日,8,,20,0,0,0
C,1F,日,公,日,早,公,日,日,日,早,公,公,早,夜,明,公,日,日,公,日,日,日,早,日,公,早,公,夜,明,公,日,夜,8,,10,5,3,2
D,1F,育休,育休,育休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,0,,0,0,0,0
E,1F,夜,明,公,早,夜,明,公,日,日,夜,明,公,日,公,公,公,日,日,夜,明,公,日,夜,明,公,日,夜,明,公,日,夜,8,,8,1,6,5
F,1F,明,公,公,夜,明,公,早,早,夜,明,公,早,日,夜,明,公,早,日,早,公,公,夜,明,公,公,夜,明,公,早,夜,明,8,,2,6,6,6
G,1F,公,日,早,公,日,日,早,早,公,日,日,夜,明,公,日,夜,明,公,早,日,早,早,公,公,公,早,公,夜,明,公,公,10,,6,6,3,3
H,1F,公,日,日,日,公,日,日,公,公,早,夜,明,公,日,早,日,公,早,公,早,日,公,公,日,日,公,日,早,公,公,早,11,,9,6,1,1
I,1F,夜,明,公,日,夜,明,公,夜,明,公,日,夜,明,公,早,早,公,早,日,夜,明,公,早,日,日,公,日,日,公,公,公,9,,7,4,4,4
J,1F,公,公,早,公,公,日,日,夜,明,公,早,公,日,日,公,早,公,夜,明,公,早,夜,明,公,公,日,日,夜,明,公,早,10,,6,4,4,4
K,1F,早,夜,明,公,公,夜,明,公,日,公,公,公,日,日,公,夜,明,公,夜,明,公,公,日,早,公,公,早,日,夜,明,公,13,,5,2,4,4
L,1F,早,夜,明,公,早,夜,明,公,公,公,公,公,早,夜,明,公,公,公,公,夜,明,公,夜,明,公,早,日,日,日,公,公,14,,3,3,4,4
M,1F,公,早,夜,明,公,早,公,公,公,公,早,日,早,日,公,公,夜,明,公,日,日,公,公,夜,明,公,公,公,早,早,日,13,,5,5,2,3
N,1F,日,公,公,公,公,早,夜,明,公,夜,明,公,公,早,夜,明,公,公,公,早,夜,明,公,夜,明,公,早,早,公,早,公,12,,0,6,5,5
O,1F,明,公,公,夜,明,公,日,公,公,日,公,公,公,早,公,公,夜,明,公,公,夜,明,公,公,公,夜,明,公,夜,明,公,15,,2,1,5,5
P,1F,公,早,夜,明,公,公,夜,明,公,公,公,公,夜,明,公,公,公,公,公,日,日,公,早,公,早,公,公,日,日,夜,明,15,,4,2,3,4
Q,1F,日,日,日,公,早,公,公,公,夜,明,公,日,公,公,夜,明,公,公,公,公,公,日,公,公,夜,明,公,公,公,公,日,18,,3,1,3,3
R,2F,日,公,日,夜,明,公,日,早,早,公,公,日,日,夜,明,公,日,日,日,日,公,日,日,公,日,早,公,日,夜,明,公,8,,11,3,3,3
S,2F,明,公,日,早,夜,明,公,夜,明,公,日,夜,明,公,夜,明,公,日,日,夜,明,公,日,公,公,日,日,夜,明,公,公,9,,6,1,6,6
T,2F,夜,明,公,公,日,日,公,日,夜,明,公,日,日,夜,明,公,日,公,夜,明,公,日,日,公,公,公,日,公,公,夜,明,11,,9,0,4,4
